"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J1";"Conn_I2C";1;"I2C";;;
2;"R3,R3,R3,R3,R3,R3,R3,R3,R3,R3,R3,R3,R3,R3,R3,R3,R3,R5,R3,R3,R3";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";21;"10R";;;
3;"D5,D5,D5,D5,D5,D5,D5,D5,D5,D5,D5,D5,D5,D5,D5,D5,D5,D5,D5,D5";"LED_5050-6";20;"LED-5050";;;
4;"C8,C10,C9";"CP_Elec_3x5.3";3;"1uF";;;
5;"TP8";"TestPoint_Pad_D1.5mm";1;"5V";;;
6;"TP7";"TestPoint_Pad_D1.5mm";1;"3V3";;;
7;"TP5";"TestPoint_Pad_D1.5mm";1;"VIN";;;
8;"TP6";"TestPoint_Pad_D1.5mm";1;"GND";;;
9;"C11,C12";"CP_Elec_3x5.3";2;"10uF";;;
10;"U4";"ESP32-C3_SuperMini";1;"ESP32-C3 SuperMini";;;
11;"U5";"AMS1117 SOT-223";1;"AMS1117-3V3";;;
12;"H2,H2,H2";"MountingHole_3.2mm_M3";3;"MountingHole_M3";;;
13;"R8,R6";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"R";;;
14;"C14,C13";"CP_Elec_3x5.3";2;"0.1uF";;;
15;"D6";"LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder";1;"5050";;;
16;"D7";"D_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"D";;;
17;"J3";"PinSocket_1x02_P2.54mm_Vertical";1;"PWR";;;
18;"U6";"AMS1117 SOT-223";1;"AMS1117-5V";;;
19;"Q1";"TO-92L_Inline_Wide";1;"NPN";;;
20;"BRD2";"Circle-44R";1;"~";;;
21;"R7";"R_LDR_D6.4mm_P3.4mm_Vertical";1;"A1050";;;
22;"D8";"LED_D8.0mm";1;"LED_8mm";;;
